budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
0,89861,en,Stiff Upper Lips,0.356495,6/12/1998,0,99,Released,,Stiff Upper Lips,10,1
0,78373,en,Dancer; Texas Pop. 81,0.376662,5/1/1998,565592,97,Released,in the middle of nowhere they had everything,Dancer; Texas Pop. 81,10,1
1,361505,en,Me You and Five Bucks,0.094105,7/7/2015,0,90,Released,A story about second; second chances,Me You and Five Bucks,10,2
0,40963,en,Little Big Top,0.0921,1/1/2006,0,0,Rumored,,Little Big Top,10,1
0,346081,en,Sardaarji,0.296981,6/26/2015,0,0,Released,,Sardaarji,9.5,2
0,69848,en,One Man's Hero,0.910529,8/2/1999,0,121,Released,One man's hero is another man's traitor.,One Man's Hero,9.3,2
25000000,278,en,The Shawshank Redemption,136.747729,9/23/1994,28341469,142,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8205
10500000,88641,en,There Goes My Baby,0.037073,9/2/1994,123509,99,Released,,There Goes My Baby,8.5,2
0,43867,en,The Prisoner of Zenda,4.021389,9/3/1937,0,101,Released,The most thrilling swordfight ever filmed...,The Prisoner of Zenda,8.4,11
6000000,238,en,The Godfather,143.659698,3/14/1972,245066411,175,Released,An offer you can't refuse.,The Godfather,8.4,5893
63000000,550,en,Fight Club,146.757391,10/15/1999,100853753,139,Released,Mischief. Mayhem. Soap.,Fight Club,8.3,9413
22000000,424,en,Schindler's List,104.469351,11/29/1993,321365567,195,Released,Whoever saves one life; saves the world entire.,Schindler's List,8.3,4329
13000000,240,en,The Godfather: Part II,105.792936,12/20/1974,47542841,200,Released,I don't feel I have to wipe everybody out; Tom. Just my enemies.,The Godfather: Part II,8.3,3338
8000000,680,en,Pulp Fiction,121.463076,10/8/1994,213928762,154,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8428
3300000,244786,en,Whiplash,192.528841,10/10/2014,13092000,105,Released,The road to greatness can take you to the edge.,Whiplash,8.3,4254
50000,322745,en,Counting,0.293587,2/9/2015,0,111,Released,,Counting,8.3,3
185000000,155,en,The Dark Knight,187.322927,7/16/2008,1004558444,152,Released,Why So Serious?,The Dark Knight,8.2,12002
60000000,497,en,The Green Mile,103.698022,12/10/1999,284600000,189,Released,Miracles do happen.,The Green Mile,8.2,4048
55000000,13,en,Forrest Gump,138.133331,7/6/1994,677945399,142,Released,The world will never be the same; once you've seen it through the eyes of Forrest Gump.,Forrest Gump,8.2,7927
30000000,311,en,Once Upon a Time in America,49.336397,2/16/1984,0,229,Released,Crime; passion and lust for power - Sergio Leone's explosive saga of gangland America.,Once Upon a Time in America,8.2,1069
